query_id	update_id	nugget_id	match_start	match_end	auto_p
TS14.11	1326502200-8b5e243c365d9b0edccaba22a834a9c6-58	VMTS14.11.008	0	80	0
TS14.11	1326502200-8b5e243c365d9b0edccaba22a834a9c6-58	VMTS14.11.034	71	152	0
TS14.11	1326502560-b4eda8d2ece6f98685ef70b841bf30be-29	VMTS14.11.018	49	105	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-157	VMTS14.11.002	0	133	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-158	VMTS14.11.199	52	111	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-162	VMTS14.11.006	0	29	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-162	VMTS14.11.012	58	109	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-162	VMTS14.11.230	126	159	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-163	VMTS14.11.125	0	82	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-166	VMTS14.11.137	119	158	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-167	VMTS14.11.005	3	161	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-168	VMTS14.11.039	14	53	0
TS14.11	1326506940-433f8576b39b614c312c77c77f739ee3-168	VMTS14.11.040	67	78	0
TS14.11	1326508200-317694a5947e13193c0488fdb00fb79b-38	VMTS14.11.004	37	85	0
TS14.11	1326508200-317694a5947e13193c0488fdb00fb79b-53	VMTS14.11.008	0	87	0
TS14.11	1326508200-317694a5947e13193c0488fdb00fb79b-60	VMTS14.11.009	34	58	0
TS14.11	1326508200-317694a5947e13193c0488fdb00fb79b-60	VMTS14.11.072	24	31	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-52	VMTS14.11.003	14	49	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-53	VMTS14.11.004	3	20	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-63	VMTS14.11.037	0	52	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-65	VMTS14.11.033	1	72	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-72	VMTS14.11.032	3	85	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-74	VMTS14.11.178	0	87	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-79	VMTS14.11.125	8	64	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-86	VMTS14.11.090	114	199	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-86	VMTS14.11.137	83	112	0
TS14.11	1326509220-fb08f6440e80a3fc2234e6f8ea2edcb1-88	VMTS14.11.040	67	79	0
TS14.11	1326510180-08e0ed79413586438e583f859870660d-33	VMTS14.11.039	8	51	0
TS14.11	1326510180-08e0ed79413586438e583f859870660d-33	VMTS14.11.040	74	85	0
TS14.11	1326510180-08e0ed79413586438e583f859870660d-34	VMTS14.11.168	3	56	0
TS14.11	1326510180-08e0ed79413586438e583f859870660d-71	VMTS14.11.168	4	54	0
TS14.11	1326510180-08e0ed79413586438e583f859870660d-72	VMTS14.11.168	58	125	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-73	VMTS14.11.002	67	104	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-73	VMTS14.11.005	3	58	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-79	VMTS14.11.008	12	68	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-80	VMTS14.11.018	68	128	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-80	VMTS14.11.026	21	63	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-87	VMTS14.11.039	13	54	0
TS14.11	1326510660-ea368e214e7e8a65bc89a7705a99b2af-87	VMTS14.11.040	66	78	0
TS14.11	1326513360-1da48fd0225f65162e4b05cc9fd49c6b-83	VMTS14.11.050	51	95	0
TS14.11	1326513360-1da48fd0225f65162e4b05cc9fd49c6b-83	VMTS14.11.061	100	115	0
TS14.11	1326514140-c0262b79239d170371f330995a61af7a-154	VMTS14.11.168	4	54	0
TS14.11	1326514500-12f951caf334948c65d75337606da320-26	VMTS14.11.039	0	44	0
